Area,Date,Category,mean sec,pct_90th_percentile,type,utcdate,time,utctimestamp
TH,2023-09-01,2,00:45:26,01:45:11,Tower Hamlets,2023-09-01,T00:00:00.000Z,2023-09-01T00:00:00.000Z
TH,2023-10-01,2,00:44:47,01:39:01,Tower Hamlets,2023-10-01,T00:00:00.000Z,2023-10-01T00:00:00.000Z
TH,2023-11-01,2,00:46:15,01:41:09,Tower Hamlets,2023-11-01,T00:00:00.000Z,2023-11-01T00:00:00.000Z
TH,2023-12-01,2,00:57:41,02:13:27,Tower Hamlets,2023-12-01,T00:00:00.000Z,2023-12-01T00:00:00.000Z
TH,2024-01-01,2,00:44:44,01:38:02,Tower Hamlets,2024-01-01,T00:00:00.000Z,2024-01-01T00:00:00.000Z
TH,2024-02-01,2,00:44:41,01:36:34,Tower Hamlets,2024-02-01,T00:00:00.000Z,2024-02-01T00:00:00.000Z
TH,2024-03-01,2,00:44:19,01:36:33,Tower Hamlets,2024-03-01,T00:00:00.000Z,2024-03-01T00:00:00.000Z
TH,2024-04-01,2,00:44:08,01:34:59,Tower Hamlets,2024-04-01,T00:00:00.000Z,2024-04-01T00:00:00.000Z
TH,2024-05-01,2,00:46:41,01:44:07,Tower Hamlets,2024-05-01,T00:00:00.000Z,2024-05-01T00:00:00.000Z
E2,2019-06-01,1,0:05:55,0:10:17,E2 postcode district,2019-06-01,T00:00:00.000Z,2019-06-01T00:00:00.000Z
E2,2019-07-01,1,0:05:03,0:08:16,E2 postcode district,2019-07-01,T00:00:00.000Z,2019-07-01T00:00:00.000Z
E2,2019-08-01,1,0:05:25,0:08:27,E2 postcode district,2019-08-01,T00:00:00.000Z,2019-08-01T00:00:00.000Z
E2,2019-09-01,1,0:04:52,0:08:19,E2 postcode district,2019-09-01,T00:00:00.000Z,2019-09-01T00:00:00.000Z
E2,2019-10-01,1,0:06:20,0:11:24,E2 postcode district,2019-10-01,T00:00:00.000Z,2019-10-01T00:00:00.000Z
E2,2019-11-01,1,0:05:08,0:08:55,E2 postcode district,2019-11-01,T00:00:00.000Z,2019-11-01T00:00:00.000Z
E2,2019-12-01,1,0:06:30,0:10:41,E2 postcode district,2019-12-01,T00:00:00.000Z,2019-12-01T00:00:00.000Z
E2,2020-01-01,1,0:05:33,0:10:10,E2 postcode district,2020-01-01,T00:00:00.000Z,2020-01-01T00:00:00.000Z
E2,2020-02-01,1,0:05:25,0:08:14,E2 postcode district,2020-02-01,T00:00:00.000Z,2020-02-01T00:00:00.000Z
E2,2020-03-01,1,0:08:49,0:17:38,E2 postcode district,2020-03-01,T00:00:00.000Z,2020-03-01T00:00:00.000Z
E2,2020-04-01,1,0:06:11,0:11:53,E2 postcode district,2020-04-01,T00:00:00.000Z,2020-04-01T00:00:00.000Z
E2,2020-05-01,1,0:04:53,0:07:43,E2 postcode district,2020-05-01,T00:00:00.000Z,2020-05-01T00:00:00.000Z
E2,2020-06-01,1,0:04:28,0:07:12,E2 postcode district,2020-06-01,T00:00:00.000Z,2020-06-01T00:00:00.000Z
E2,2020-07-01,1,0:05:03,0:07:57,E2 postcode district,2020-07-01,T00:00:00.000Z,2020-07-01T00:00:00.000Z
E2,2020-08-01,1,0:04:50,0:07:52,E2 postcode district,2020-08-01,T00:00:00.000Z,2020-08-01T00:00:00.000Z
E2,2020-09-01,1,0:04:44,0:07:55,E2 postcode district,2020-09-01,T00:00:00.000Z,2020-09-01T00:00:00.000Z
E2,2020-10-01,1,0:04:15,0:06:24,E2 postcode district,2020-10-01,T00:00:00.000Z,2020-10-01T00:00:00.000Z
E2,2020-11-01,1,0:04:28,0:06:55,E2 postcode district,2020-11-01,T00:00:00.000Z,2020-11-01T00:00:00.000Z
E2,2020-12-01,1,0:05:11,0:08:33,E2 postcode district,2020-12-01,T00:00:00.000Z,2020-12-01T00:00:00.000Z
E2,2021-01-01,1,0:05:14,0:08:07,E2 postcode district,2021-01-01,T00:00:00.000Z,2021-01-01T00:00:00.000Z
E2,2021-02-01,1,0:03:49,0:06:18,E2 postcode district,2021-02-01,T00:00:00.000Z,2021-02-01T00:00:00.000Z
E2,2021-03-01,1,0:04:19,0:06:53,E2 postcode district,2021-03-01,T00:00:00.000Z,2021-03-01T00:00:00.000Z
E2,2021-04-01,1,0:05:11,0:07:54,E2 postcode district,2021-04-01,T00:00:00.000Z,2021-04-01T00:00:00.000Z
E2,2021-05-01,1,0:04:42,0:08:06,E2 postcode district,2021-05-01,T00:00:00.000Z,2021-05-01T00:00:00.000Z
E2,2021-06-01,1,0:05:29,0:09:35,E2 postcode district,2021-06-01,T00:00:00.000Z,2021-06-01T00:00:00.000Z
E2,2021-07-01,1,0:06:13,0:11:27,E2 postcode district,2021-07-01,T00:00:00.000Z,2021-07-01T00:00:00.000Z
E2,2021-08-01,1,0:05:52,0:09:37,E2 postcode district,2021-08-01,T00:00:00.000Z,2021-08-01T00:00:00.000Z
E2,2021-09-01,1,0:05:43,0:08:36,E2 postcode district,2021-09-01,T00:00:00.000Z,2021-09-01T00:00:00.000Z
E2,2021-10-01,1,0:07:09,0:11:40,E2 postcode district,2021-10-01,T00:00:00.000Z,2021-10-01T00:00:00.000Z
E2,2021-11-01,1,0:06:37,0:09:31,E2 postcode district,2021-11-01,T00:00:00.000Z,2021-11-01T00:00:00.000Z
E2,2021-12-01,1,0:06:06,0:11:13,E2 postcode district,2021-12-01,T00:00:00.000Z,2021-12-01T00:00:00.000Z
E2,2022-01-01,1,0:05:49,0:09:31,E2 postcode district,2022-01-01,T00:00:00.000Z,2022-01-01T00:00:00.000Z
E2,2022-02-01,1,0:05:24,0:09:42,E2 postcode district,2022-02-01,T00:00:00.000Z,2022-02-01T00:00:00.000Z
E2,2022-03-01,1,0:06:31,0:11:25,E2 postcode district,2022-03-01,T00:00:00.000Z,2022-03-01T00:00:00.000Z
E2,2022-04-01,1,0:05:09,0:08:26,E2 postcode district,2022-04-01,T00:00:00.000Z,2022-04-01T00:00:00.000Z
E2,2022-05-01,1,0:06:00,0:11:16,E2 postcode district,2022-05-01,T00:00:00.000Z,2022-05-01T00:00:00.000Z
E2,2022-06-01,1,0:08:01,0:10:00,E2 postcode district,2022-06-01,T00:00:00.000Z,2022-06-01T00:00:00.000Z
E2,2022-07-01,1,0:07:28,0:12:03,E2 postcode district,2022-07-01,T00:00:00.000Z,2022-07-01T00:00:00.000Z
E2,2022-08-01,1,0:05:00,0:08:41,E2 postcode district,2022-08-01,T00:00:00.000Z,2022-08-01T00:00:00.000Z
E2,2022-09-01,1,0:05:22,0:08:32,E2 postcode district,2022-09-01,T00:00:00.000Z,2022-09-01T00:00:00.000Z
E2,2022-12-01,1,0:09:23,0:14:36,E2 postcode district,2022-12-01,T00:00:00.000Z,2022-12-01T00:00:00.000Z
E2,2023-01-01,1,0:07:00,0:12:19,E2 postcode district,2023-01-01,T00:00:00.000Z,2023-01-01T00:00:00.000Z
E2,2023-02-01,1,0:06:11,0:10:08,E2 postcode district,2023-02-01,T00:00:00.000Z,2023-02-01T00:00:00.000Z
E2,2023-03-01,1,0:07:24,0:13:01,E2 postcode district,2023-03-01,T00:00:00.000Z,2023-03-01T00:00:00.000Z
E2,2023-04-01,1,0:05:53,0:10:42,E2 postcode district,2023-04-01,T00:00:00.000Z,2023-04-01T00:00:00.000Z
E2,2023-05-01,1,0:06:38,0:10:44,E2 postcode district,2023-05-01,T00:00:00.000Z,2023-05-01T00:00:00.000Z
E2,2023-06-01,1,0:07:20,0:14:28,E2 postcode district,2023-06-01,T00:00:00.000Z,2023-06-01T00:00:00.000Z
E2,2023-07-01,1,0:06:38,0:10:44,E2 postcode district,2023-07-01,T00:00:00.000Z,2023-07-01T00:00:00.000Z
E2,2023-08-01,1,0:06:10,0:09:26,E2 postcode district,2023-08-01,T00:00:00.000Z,2023-08-01T00:00:00.000Z
E2,2023-09-01,1,0:07:04,0:11:40,E2 postcode district,2023-09-01,T00:00:00.000Z,2023-09-01T00:00:00.000Z
E2,2023-10-01,1,0:06:45,0:11:11,E2 postcode district,2023-10-01,T00:00:00.000Z,2023-10-01T00:00:00.000Z
E2,2023-11-01,1,0:07:19,0:11:36,E2 postcode district,2023-11-01,T00:00:00.000Z,2023-11-01T00:00:00.000Z
E2,2023-12-01,1,0:06:19,0:11:48,E2 postcode district,2023-12-01,T00:00:00.000Z,2023-12-01T00:00:00.000Z
E2,2024-01-01,1,0:06:15,0:11:04,E2 postcode district,2024-01-01,T00:00:00.000Z,2024-01-01T00:00:00.000Z
E2,2024-02-01,1,0:06:24,0:11:25,E2 postcode district,2024-02-01,T00:00:00.000Z,2024-02-01T00:00:00.000Z
E2,2024-03-01,1,0:06:27,0:11:17,E2 postcode district,2024-03-01,T00:00:00.000Z,2024-03-01T00:00:00.000Z
E2,2024-04-01,1,0:06:06,0:10:49,E2 postcode district,2024-04-01,T00:00:00.000Z,2024-04-01T00:00:00.000Z
E2,2024-05-01,1,0:05:40,0:08:32,E2 postcode district,2024-05-01,T00:00:00.000Z,2024-05-01T00:00:00.000Z
E2,2019-06-01,2,0:17:46,0:35:51,E2 postcode district,2019-06-01,T00:00:00.000Z,2019-06-01T00:00:00.000Z
E2,2019-07-01,2,0:18:02,0:35:26,E2 postcode district,2019-07-01,T00:00:00.000Z,2019-07-01T00:00:00.000Z
E2,2019-08-01,2,0:14:47,0:29:28,E2 postcode district,2019-08-01,T00:00:00.000Z,2019-08-01T00:00:00.000Z
E2,2019-09-01,2,0:13:52,0:27:32,E2 postcode district,2019-09-01,T00:00:00.000Z,2019-09-01T00:00:00.000Z
E2,2019-10-01,2,0:16:51,0:36:58,E2 postcode district,2019-10-01,T00:00:00.000Z,2019-10-01T00:00:00.000Z
E2,2019-11-01,2,0:18:18,0:39:18,E2 postcode district,2019-11-01,T00:00:00.000Z,2019-11-01T00:00:00.000Z
E2,2019-12-01,2,0:21:49,0:48:41,E2 postcode district,2019-12-01,T00:00:00.000Z,2019-12-01T00:00:00.000Z
E2,2020-01-01,2,0:15:03,0:31:20,E2 postcode district,2020-01-01,T00:00:00.000Z,2020-01-01T00:00:00.000Z
E2,2020-02-01,2,0:19:49,0:43:35,E2 postcode district,2020-02-01,T00:00:00.000Z,2020-02-01T00:00:00.000Z
E2,2020-03-01,2,0:39:04,1:33:07,E2 postcode district,2020-03-01,T00:00:00.000Z,2020-03-01T00:00:00.000Z
E2,2020-04-01,2,0:16:54,0:43:20,E2 postcode district,2020-04-01,T00:00:00.000Z,2020-04-01T00:00:00.000Z
E2,2020-05-01,2,0:06:30,0:10:41,E2 postcode district,2020-05-01,T00:00:00.000Z,2020-05-01T00:00:00.000Z
E2,2020-06-01,2,0:07:41,0:11:47,E2 postcode district,2020-06-01,T00:00:00.000Z,2020-06-01T00:00:00.000Z
E2,2020-07-01,2,0:08:17,0:15:37,E2 postcode district,2020-07-01,T00:00:00.000Z,2020-07-01T00:00:00.000Z
E2,2020-08-01,2,0:12:08,0:24:17,E2 postcode district,2020-08-01,T00:00:00.000Z,2020-08-01T00:00:00.000Z
E2,2020-09-01,2,0:13:32,0:28:27,E2 postcode district,2020-09-01,T00:00:00.000Z,2020-09-01T00:00:00.000Z
E2,2020-10-01,2,0:12:29,0:24:49,E2 postcode district,2020-10-01,T00:00:00.000Z,2020-10-01T00:00:00.000Z
E2,2020-11-01,2,0:12:49,0:25:18,E2 postcode district,2020-11-01,T00:00:00.000Z,2020-11-01T00:00:00.000Z
E2,2020-12-01,2,0:48:35,2:07:06,E2 postcode district,2020-12-01,T00:00:00.000Z,2020-12-01T00:00:00.000Z
E2,2021-01-01,2,0:38:03,1:41:28,E2 postcode district,2021-01-01,T00:00:00.000Z,2021-01-01T00:00:00.000Z
E2,2021-02-01,2,0:09:59,0:17:08,E2 postcode district,2021-02-01,T00:00:00.000Z,2021-02-01T00:00:00.000Z
E2,2021-03-01,2,0:10:26,0:20:17,E2 postcode district,2021-03-01,T00:00:00.000Z,2021-03-01T00:00:00.000Z
E2,2021-04-01,2,0:15:25,0:34:29,E2 postcode district,2021-04-01,T00:00:00.000Z,2021-04-01T00:00:00.000Z
E2,2021-05-01,2,0:18:41,0:39:33,E2 postcode district,2021-05-01,T00:00:00.000Z,2021-05-01T00:00:00.000Z
E2,2021-06-01,2,0:26:09,0:58:09,E2 postcode district,2021-06-01,T00:00:00.000Z,2021-06-01T00:00:00.000Z
E2,2021-07-01,2,0:43:05,1:38:32,E2 postcode district,2021-07-01,T00:00:00.000Z,2021-07-01T00:00:00.000Z
E2,2021-08-01,2,0:39:13,1:27:10,E2 postcode district,2021-08-01,T00:00:00.000Z,2021-08-01T00:00:00.000Z
E2,2021-09-01,2,0:44:10,1:44:21,E2 postcode district,2021-09-01,T00:00:00.000Z,2021-09-01T00:00:00.000Z
E2,2021-10-01,2,0:49:59,1:37:30,E2 postcode district,2021-10-01,T00:00:00.000Z,2021-10-01T00:00:00.000Z
E2,2021-11-01,2,0:43:55,1:36:54,E2 postcode district,2021-11-01,T00:00:00.000Z,2021-11-01T00:00:00.000Z
E2,2021-12-01,2,0:56:48,2:08:14,E2 postcode district,2021-12-01,T00:00:00.000Z,2021-12-01T00:00:00.000Z
E2,2022-01-01,2,0:30:21,1:09:30,E2 postcode district,2022-01-01,T00:00:00.000Z,2022-01-01T00:00:00.000Z
