,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Dolphin Lane,537539.0,180688.0,Kerbside,46.3,45.3,44.5,34.4,31.0,25.2,35.6,30.8,38.4,37.9,41.9,49.3,38.38,29.17,,,,,,,,,,
59,Westferry Road/Limehouse Link jnct,537100.0,180791.0,Kerbside,53.5,54.0,Missing,47.9,50.4,43.0,44.8,40.0,43.7,48.8,55.0,51.7,48.44,36.81,,,,,,,,,,
60,"Cascades, Westferry Road",537115.0,180074.0,Kerbside,59.8,50.7,55.4,Missing,51.2,41.0,48.5,46.3,51.6,55.3,61.0,48.2,51.73,39.31,,,,,,,,,,
61,Bow Rd/Alfred St,537056.0,182773.0,Kerbside,Missing,48.3,52.4,50.4,26.2,32.9,40.1,43.7,49.9,46.2,56.4,53.2,45.43,34.52,,,,,,,,,,
62,Mast House Terrace,537348.0,178690.0,Kerbside,36.0,42.9,35.4,Missing,Missing,27.2,34.5,36.1,37.7,43.3,40.9,48.5,38.25,29.07,,,,,,,,,,
63,Millwall Park,538246.0,178689.0,Urban background,42.5,34.2,Missing,31.6,24.1,21.1,24.3,24.8,23.2,31.2,33.9,34.3,29.56,22.47,,,,,,,,,,
64,Limeharbour,537953.0,179357.0,Kerbside,41.1,55.7,57.5,48.2,48.2,40.3,50.2,45.1,46.1,54.6,53.1,53.3,49.45,37.58,,,,,,,,,,
65,Manchester Road/East Ferry Road,538032.0,178360.0,Kerbside,35.5,39.8,44.7,36.6,35.1,31.0,34.2,30.7,34.6,39.8,42.3,41.3,37.13,28.22,,,,,,,,,,
66,Millwall Park,538258.0,178689.0,Urban background,43.6,38.2,38.6,28.4,25.9,19.3,Missing,26.9,33.4,30.9,39.8,42.5,33.41,25.39,,,,,,,,,,
67,Seyssel Street,538544.0,178767.0,Kerbside,41.9,47.4,46.8,35.0,35.2,28.3,36.1,33.6,35.8,41.0,46.8,49.1,39.75,30.21,,,,,,,,,,
68,Manchester Road/Ollife Street ,538431.0,179044.0,Kerbside,41.8,47.7,47.4,39.9,41.5,34.4,36.3,32.2,36.6,45.0,46.7,47.8,41.44,31.50,,,,,,,,,,
69,Lawnhouse Close ,538190.0,179750.0,Kerbside,53.4,47.4,60.0,42.9,40.6,31.1,43.1,39.5,42.3,45.8,47.8,50.2,45.34,34.46,,,,,,,,,,
70,Admirals Way,537424.0,179910.0,Kerbside,Missing,41.3,42.9,37.9,31.3,24.5,28.8,24.2,34.4,40.0,45.8,46.2,36.12,27.45,,,,,,,,,,
71,Toynbee St/Commercial St,533689.0,181705.0,Roadside,Missing,69.0,67.2,63.6,Missing,Missing,75.4,63.1,80.5,78.4,69.5,72.3,71.00,53.96,,,,,,,,,,
72,Prestons Road/ Coldharbour,538364.0,180188.0,Kerbside,46.5,50.5,63.5,48.5,56.5,40.1,46.6,Missing,48.7,54.1,44.4,58.2,50.69,38.53,,,,,,,,,,
73,John Smith Mews,538742.0,180756.0,Kerbside,36.8,57.2,55.2,32.4,35.7,28.2,38.4,38.9,43.5,48.8,42.6,45.5,41.93,31.87,,,,,,,,,,
74,Poplar High St/Cotton St,538244.0,180761.0,Kerbside,Missing,78.7,47.6,79.8,Missing,76.8,101.4,84.1,99.7,81.8,94.3,96.8,84.10,63.92,,,,,,,,,,
75,Hale Street,537661.0,180768.0,Kerbside,50.0,31.8,100.3,40.4,33.2,29.5,34.2,32.6,41.1,43.3,49.8,49.6,44.65,33.93,,,,,,,,,,
76,Chrisp Street/E India Dock Road ,537940.0,181021.0,Kerbside,62.7,60.3,74.3,57.0,48.5,58.0,56.7,55.0,54.5,56.9,61.1,63.4,59.03,44.87,,,,,,,,,,
77,Morris/Barchester Street,537731.0,181761.0,Kerbside,50.8,56.9,53.8,50.1,37.7,32.5,39.8,38.3,45.8,50.2,55.4,51.6,46.91,35.65,,,,,,,,,,
78,Devons Road / Campbell Road ,537577.0,182232.0,Kerbside,61.0,65.9,54.0,56.3,58.3,50.7,55.4,50.4,48.9,58.9,58.2,59.7,56.48,42.92,,,,,,,,,,
79,Hatfield Terrace/Fairfield Road,537355.0,183059.0,Kerbside,42.4,49.9,47.0,45.1,42.1,34.9,35.0,33.7,36.0,43.4,48.4,46.6,42.04,31.95,,,,,,,,,,
80,Wrexham Road,537581.0,183209.0,Kerbside,48.4,61.6,51.7,53.7,54.6,50.5,43.4,41.7,40.9,53.4,49.8,55.7,50.45,38.34,,,,,,,,,,
81,Bromley High Street/ St Leonards,537868.0,182912.0,Kerbside,83.9,54.2,Missing,45.1,46.6,40.0,40.3,39.1,45.7,48.5,58.3,55.3,50.64,38.48,,,,,,,,,,
82,Devas Street /Devons road,537821.0,182332.0,Kerbside,68.8,65.7,67.6,59.2,70.1,56.7,54.1,50.5,51.9,59.1,59.2,55.0,59.83,45.47,,,,,,,,,,
83,Zetland Street/A12,538178.0,181747.0,Kerbside,73.8,81.9,85.7,87.8,100.4,91.3,88.4,69.9,69.6,82.6,84.6,73.5,82.46,62.67,,,,,,,,,,
84,Blair Street (End of Street),538365.0,181180.0,Roadside,76.5,60.6,68.0,56.1,41.5,36.0,60.6,52.3,66.3,48.2,69.2,Missing,57.75,43.89,,,,,,,,,,
85,Portree Street,538895.0,181296.0,Kerbside,65.1,57.3,72.8,64.2,51.5,50.4,54.9,45.1,55.1,61.2,67.4,61.9,58.91,44.77,,,,,,,,,,
86,Newport Avenue,538954.0,180872.0,Kerbside,41.5,49.0,37.4,41.0,37.5,28.8,34.5,33.9,39.2,42.4,38.5,44.1,38.98,29.63,,,,,,,,,,
87,Mile End Road Corner Bancroft Rd,535929.0,182220.0,Kerbside,Missing,63.0,59.8,62.9,63.4,69.0,64.4,61.5,66.8,77.9,61.9,61.0,64.69,49.17,,,,,,,,,,
88,Shirbutt St o/s Holy Family School,537555.0,180892.0,Kerbside,Missing,43.3,44.3,35.2,34.4,28.5,29.1,30.1,34.6,39.0,41.2,40.3,36.36,27.64,,,,,,,,,,
89,Thames Path Storers Quay,538730.0,178733.0,Roadside,43.6,42.3,45.3,33.7,27.8,25.6,29.3,27.2,31.5,Missing,Missing,41.0,34.73,26.39,,,,,,,,,,
90,Sextant Avenue,538674.0,178888.0,Kerbside,39.7,35.3,42.0,36.6,28.1,26.4,25.4,24.6,29.0,28.5,37.6,34.2,32.28,24.54,,,,,,,,,,
