,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower Hamlets Nitrogen Dioxide Diffusion Tube Results 2019,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
The annual Air Quality Objective for Nitrogen Dioxide is 40µgm-3.,,,,,,,,,,,,,,,,,,,,,,,,,,
For more information and monitoring results of other pollutants from our permanent monitoring stations please see www.airqualityengland.co.uk,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,,,,,,,,,,
10,Whitechapel Rd/Adler St,534133.0,181509.0,Kerbside,59.6,70.4,54.6,53.9,57.4,Missing,39.9,43.3,51.3,46.7,54.3,60.1,53.77,40.33,,,,,,,,
11,Brick Lane/Princelet St,533866.0,181860.0,Kerbside,Missing,57.7,Missing,41.2,35,32.2,31,33.8,37.3,45,61.3,54.4,42.89,32.17,,,,,,,,
12,Buckfast St/Bethnal Green Rd,534259.0,182580.0,Kerbside,52.6,51.5,47.8,38.4,37.3,31.4,33.9,37.3,38.0,42,58,51.4,43.30,32.48,,,,,,,,
13,Squirries St/Gosset St,534313.0,182810.0,Kerbside,55.8,57.7,47.7,52.0,42.3,40.4,41.3,Missing,44.9,49,62.6,57.1,50.07,37.55,,,,,,,,
14,Warner Place/Hackney Rd,534255.0,183130.0,Kerbside,45.6,58.5,50.6,40.3,35.2,36.2,37.5,43.7,45.0,47.8,61.3,65.4,47.26,35.44,,,,,,,,
15,Parmiter St/ Cambridge Heath Road,534881.0,183240.0,Kerbside,70.7,65.2,53.6,54.2,50.3,40.1,42.6,45.1,48.0,54.4,73.4,56.3,54.49,40.87,,,,,,,,
16,Paradise Row/Bethnal Green Rd,534959.0,182757.0,Kerbside,51.5,61.0,51.5,47.9,41.3,39.8,37.7,42.9,42.4,47.5,55.5,57.2,48.02,36.01,,,,,,,,
17,Finnis St/Three Colts Lane,534783.0,182385.0,Kerbside,47.6,51.9,Missing,Missing,Missing,29.7,30.6,32.2,35.3,40.4,55.7,44.4,40.87,30.65,,,,,,,,
18,Sidney St/Mile End Rd,534968.0,181878.0,Roadside,63.2,43.7,56.8,45.2,44,38.2,40.7,40.0,36.9,50.9,68,56.5,48.68,36.51,,,,,,,,
19,Philpot St/Commercial Road,534816.0,181321.0,Kerbside,65.3,61.0,53.8,51.8,43.4,38.5,48.7,52.3,51.8,56.1,74.8,63.9,55.12,41.34,,,,,,,,
20,Dellow St/The Highway,534951.0,180779.0,Roadside,70.1,86.9,75.7,57.6,54.6,58.9,58.6,65.1,59.2,65.2,74,65.3,65.93,49.45,,,,,,,,
21,Queensbridge Rd/Hackney Rd,533985.0,183122.0,Kerbside,59.3,56.7,50.7,46.8,36.6,34.6,37.1,41.5,41.8,45.2,59.3,54.6,47.02,35.26,,,,,,,,
22,Wapping Wall/Garnet St,535133.0,180376.0,Kerbside,51.3,46.9,43.1,44.2,31.3,29.0,29.2,31.5,37.4,41.1,57.6,42.6,40.43,30.33,,,,,,,,
23,Brodlove Lane,535598.0,180816.0,Kerbside,66.2,66.0,56.8,45.8,47.3,44.6,49.3,54.4,48.2,47.9,62.8,54.4,53.64,40.23,,,,,,,,
24,Jubilee Street/Commercial Rd,535174.0,181290.0,Kerbside,64.1,53.9,66.9,72.3,63.5,59.1,61.8,57.5,61.7,65.1,missing,missing,62.59,46.94,,,,,,,,
25,Cavell St/Stepney Way,534884.0,181667.0,Kerbside,52.0,61.5,52.1,45.7,40.7,40.3,38.2,48.1,46.3,54,64.4,64.5,50.65,37.99,,,,,,,,
26,Hannibal Rd/Mile End Rd,535386.0,182021.0,Kerbside,69.6,65.2,61.3,41.6,68.3,42.3,45.5,51.0,51.0,52.8,58.8,60.1,55.63,41.72,,,,,,,,
27,Roman Rd/Globe Road,535296.0,182793.0,Kerbside,52.9,56.2,43.9,48.5,42.3,34.1,32.7,37.7,43.2,46,63,45.6,45.51,34.13,,,,,,,,
28,Bonner Road,535356.0,183223.0,Kerbside,56.2,55.0,46.3,43.5,41.2,39.9,42,40.7,44.0,44.4,62.4,47.4,46.92,35.19,,,,,,,,
29,Grove Rd/Old Ford Rd,535930.0,183385.0,Kerbside,55.6,68.2,53.5,49.2,48,45.4,50.1,45.7,52.4,missing,68.4,57.3,53.98,40.49,,,,,,,,
30,Fieldgate Street,534239.0,181565.0,Kerbside,58.5,51.3,50.9,66.2,42.4,42.8,38.4,41.1,45.8,50,62.8,52.2,50.20,37.65,,,,,,,,
31,Whitechapel Market,534516.0,181744.0,Roadside,Missing,86.7,84.0,66.5,67.2,63.6,62.6,63.5,69.0,69.8,80.5,missing,71.34,53.51,,,,,,,,
32,Globe Rd/Mile End Rd,535634.0,182148.0,Kerbside,63.6,68.4,58.3,58.2,54.3,50.6,50.3,48.0,52.7,54.2,64.7,53.1,56.37,42.28,,,,,,,,
33,Stepney Green,535545.0,181604.0,Urban background,45.7,Missing,40.4,34.7,Missing,22.7,25.9,29.3,31.9,40,57.2,42.7,37.05,27.79,,,,,,,,
34,Pitsea St/Commercial Rd,535797.0,181164.0,Kerbside,61.5,52.4,52.3,47.1,42.2,37.8,32.4,41.8,41.2,43.3,62.3,41.9,46.35,34.76,,,,,,,,
35,Narrow St/Limehouse Link,535977.0,180879.0,Roadside,116.9,Missing,111.8,114.0,100,100.0,99.6,90.1,99.6,93.8,114.7,90.1,102.78,77.09,,,,,,,,
36,Locksley St/St Paul's Way,536704.0,181647.0,Kerbside,51.9,53.7,43.7,49.5,34.5,33.9,30,33.9,37.7,40.9,60.7,46.9,43.11,32.33,,,,,,,,
37,Rhodeswell Rd,536577.0,181379.0,Kerbside,45.6,49.4,43.0,42.7,34.5,32.7,Missing,Missing,Missing,missing,57.4,41.6,43.36,32.52,,,,,,,,
38,Ben Johnson Road,536080.0,181721.0,Kerbside,61.1,48.3,50.2,50.6,40.2,39.3,35.4,34.7,46.4,46.8,70.1,49.5,47.72,35.79,,,,,,,,
39,Harford St/Mile End Rd,536089.0,182258.0,Roadside,55.1,55.7,47.9,56.5,42.7,39.7,37.6,38.8,44.8,43.7,66.1,49.2,48.15,36.11,,,,,,,,
40,Thoydon Rd,536105.0,183049.0,Kerbside,39.9,56.8,46.1,41.6,39,31.4,36.2,38.2,38.0,44.5,57.9,50.9,43.38,32.53,,,,,,,,
41,Ford Close/Roman Rd,536457.0,183301.0,Roadside,54.9,54.6,44.7,53.9,40,38.1,37.5,32.7,39.7,47.1,61.3,39.5,45.33,34.00,,,,,,,,
42,Victoria Park (Co-location site),536494.0,184170.0,Urban background,33.9,40.3,28.1,28.2,24.3,19.4,17.7,18.2,25.4,30.2,44.5,33.2,28.62,21.46,,,,,,,,
43,Victoria Park (Co-location site),536494.0,184170.0,Urban background,32.4,37.7,28.1,27.2,22.2,19.6,19.7,22.5,26.7,29.7,45.2,31.1,28.51,21.38,,,,,,,,
44,Parnell Rd/Old Ford Rd,536875.0,183740.0,Kerbside,57.1,56.3,40.5,44.3,40.8,38.6,39,40.0,Missing,48.9,65.6,31.0,45.65,34.23,,,,,,,,
45,St Stephen's Rd/Tredegar Rd,536713.0,183070.0,Kerbside,59.7,59.1,51.0,54.9,44.9,43.1,40.6,42.8,46.0,53,67.8,55.6,51.54,38.66,,,,,,,,
46,Rhondda Grove/Mile End Rd,536542.0,182589.0,Kerbside,60.2,59.7,45.6,45.0,36,34.6,34.5,36.4,41.8,43.3,63.4,35.1,44.63,33.48,,,,,,,,
47,Wentworth Mews,536452.0,182454.0,Kerbside,62.0,65.4,53.7,55.9,51.1,50.0,46.7,44.8,56.0,50.8,79.2,43.9,54.96,41.22,,,,,,,,
48,Ackroyd Drive,536768.0,181772.0,Kerbside,58.8,65.0,53.4,47.6,43.8,39.5,46.1,52.8,50.4,50.2,missing,40.2,49.80,37.35,,,,,,,,
49,Dod St/Burdett Rd,537049.0,181292.0,Kerbside,52.8,50.8,41.1,34.5,27.7,31.5,31.4,35.4,34.0,41.3,67.6,32.8,40.08,30.06,,,,,,,,
50,Rich Street,536937.0,180987.0,Roadside,55.5,51.0,Missing,50.0,41.8,39.5,41.7,46.6,44.6,47.9,64.5,24.2,46.12,34.59,,,,,,,,
51,Watney Market,534938.0,181257.0,Roadside,32.2,50.4,42.2,41.8,32,28.9,31.2,37.5,37.7,missing,58.2,36.5,38.96,29.22,,,,,,,,
52,Wick Lane/Autumn St,537304.0,183619.0,Kerbside,58.8,58.3,49.9,50.9,44.3,42.2,42,44.8,46.0,52.1,68.5,30.6,49.03,36.78,,,,,,,,
53,Fairfield Road/Tredegar Road ,537159.0,183415.0,Kerbside,57.2,65.8,64.2,73.1,55.1,52.9,51.5,49.1,Missing,54.1,69.7,40.3,57.55,43.16,,,,,,,,
54,Bow Rd /Glebe Terrace,537525.0,182887.0,Kerbside,77.6,83.3,72.7,77.4,54.2,58.8,61.4,58.0,54.8,54.5,85.3,55.5,66.13,49.59,,,,,,,,
55,TH Cemetery Park,536732.0,182361.0,Roadside,41.3,37.0,33.6,29.9,22.1,22.1,20.8,24.1,26.3,28.4,42.9,27.5,29.67,22.25,,,,,,,,
56,Bow Common Lane/St Paul's Way,537248.0,181820.0,Kerbside,55.7,46.1,43.4,43.1,38.5,37.4,38.3,42.2,40.3,40.1,60.3,32.0,43.12,32.34,,,,,,,,
57,Augusta St/Giraud St,537516.0,181392.0,Kerbside,50.8,45.7,38.0,36.1,26.5,24.6,23.9,29.3,33.9,39,60.3,30.8,36.58,27.43,,,,,,,,
58,Dolphin Lane,537539.0,180688.0,Kerbside,52.2,46.7,43.5,34.9,25.4,26.3,29.4,35.5,30.6,38.8,54.6,24.8,36.89,27.67,,,,,,,,
59,Westferry Road/Limehouse Link jnct,537100.0,180791.0,Kerbside,31.5,55.6,49.9,2.3,37.2,38.4,37.8,38.3,41.6,47,65.6,46.5,40.98,30.73,,,,,,,,
60,"Cascades, Westferry Road",537115.0,180074.0,Kerbside,37.2,61.3,53.6,38.3,40.9,41.7,43.9,49.0,49.0,47.5,61.8,46.5,47.56,35.67,,,,,,,,
61,Bow Rd/Alfred St,537056.0,182773.0,Kerbside,55.6,63.5,54.0,45.6,33.8,36.9,36.1,44.4,40.2,47.2,64.8,45.0,47.26,35.44,,,,,,,,
62,Mast House Terrace,537348.0,178690.0,Kerbside,50.0,51.0,44.2,41.8,30.2,34.4,34.9,37.9,41.2,46.1,59.4,36.1,42.27,31.70,,,,,,,,
63,Millwall Park,538246.0,178689.0,Urban background,40.2,38.6,31.3,29.1,21.7,22.0,23.1,29.1,29.6,32.6,48.4,39.3,32.08,24.06,,,,,,,,
64,Limeharbour,537953.0,179357.0,Kerbside,56.1,51.4,47.6,52.7,40.4,41.9,40.2,Missing,34.2,57.3,77.8,46.4,49.64,37.23,,,,,,,,
65,Manchester Road/East Ferry Road,538032.0,178360.0,Kerbside,45.4,46.2,47.7,35.5,29.5,30.3,29.5,Missing,37.0,39.2,59.9,26.1,38.75,29.07,,,,,,,,
66,Millwall Park,538258.0,178689.0,Urban background,44.5,34.2,40.9,31.6,16.9,20.0,18.9,21.8,26.4,29.2,42.6,24.6,29.30,21.98,,,,,,,,
67,Seyssel Street,538544.0,178767.0,Kerbside,51.1,44.2,43.8,43.1,32.3,33.1,31.5,36.1,38.8,43.9,59.2,35.5,41.05,30.79,,,,,,,,
68,Manchester Road/Ollife Street ,538431.0,179044.0,Kerbside,50.5,48.1,40.8,49.1,35.9,37.6,36.6,Missing,Missing,48.4,65.1,36.7,44.88,33.66,,,,,,,,
69,Lawnhouse Close ,538190.0,179750.0,Kerbside,49.9,52.2,45.5,40.7,31.3,32.2,31.8,37.2,42.7,40.1,59.8,25.5,40.74,30.56,,,,,,,,
70,Admirals Way,537424.0,179910.0,Kerbside,44.5,47.6,39.8,34.9,26.6,29.5,27.6,30.2,57.1,40.5,58.5,34.4,39.27,29.45,,,,,,,,
71,Toynbee St/Commercial St,533689.0,181705.0,Roadside,73.1,76.0,69.5,52.8,54.3,49.1,47.9,51.5,57.2,64.4,76.6,49.1,60.13,45.09,,,,,,,,
72,Prestons Road/ Coldharbour,538364.0,180188.0,Kerbside,59.6,55.1,51.2,54.0,44.1,44.2,44.5,43.4,47.4,missing,71,38.2,50.25,37.68,,,,,,,,
73,John Smith Mews,538742.0,180756.0,Kerbside,55.7,47.4,45.6,39.3,31.6,29.8,34.8,35.9,37.4,39.5,58.1,33.5,40.72,30.54,,,,,,,,
74,Poplar High St/Cotton St,538244.0,180761.0,Kerbside,97.4,104.9,92.2,89.3,82.9,89.5,94.5,100.4,98.8,105.9,109.9,68.3,94.50,70.88,,,,,,,,
75,Hale Street,537661.0,180768.0,Kerbside,48.6,49.2,41.2,39.7,27.8,29.2,27.6,31.8,35.6,40.8,56.9,29.9,38.19,28.64,,,,,,,,
76,Chrisp Street/E India Dock Road ,537940.0,181021.0,Kerbside,62.7,68.2,57.2,54.1,40,43.7,44.4,45.4,51.5,53,74.7,24.7,51.63,38.73,,,,,,,,
77,Morris/Barchester Street,537731.0,181761.0,Kerbside,51.9,55.5,47.9,41.3,33.7,33.5,34.5,35.2,38.6,45.1,60,23.2,41.70,31.28,,,,,,,,
78,Devons Road / Campbell Road ,537577.0,182232.0,Kerbside,49.0,58.7,53.5,53.2,38.4,44.0,42.3,36.6,47.9,46.3,71.6,31.4,47.74,35.81,,,,,,,,
79,Hatfield Terrace/Fairfield Road,537355.0,183059.0,Kerbside,43.8,46.7,39.5,37.2,28.6,29.3,26,26.6,34.7,37.7,55.9,37.4,36.95,27.71,,,,,,,,
80,Wrexham Road,537581.0,183209.0,Kerbside,50.7,51.4,46.5,51.4,39.5,40.2,38.6,33.3,45.6,46.8,67.1,43.8,46.24,34.68,,,,,,,,
81,Bromley High Street/ St Leonards,537868.0,182912.0,Kerbside,52.2,56.2,48.4,43.4,34.3,39.4,38.4,37.9,46.4,47.2,70.5,32.7,45.58,34.19,,,,,,,,
82,Devas Street /Devons road,537821.0,182332.0,Kerbside,59.7,57.6,58.1,46.7,42,45.2,42.6,40.8,49.3,53.8,67.3,27.4,49.21,36.91,,,,,,,,
83,Zetland Street/A12,538178.0,181747.0,Kerbside,68.4,59.4,75.9,80.2,60.4,73.0,66,65.8,71.8,72.5,94.1,38.6,68.84,51.63,,,,,,,,
84,Blair Street (End of Street),538365.0,181180.0,Roadside,Missing,74.6,60.8,35.0,42.4,46.4,44.2,57.0,56.8,61.6,61.2,35.2,52.29,39.22,,,,,,,,
85,Portree Street,538895.0,181296.0,Kerbside,62.6,62.9,53.4,47.8,34.1,45.9,40.7,50.4,51.1,56.6,73.4,33.6,51.04,38.28,,,,,,,,
86,Newport Avenue,538954.0,180872.0,Kerbside,51.0,39.4,41.7,34.1,28.3,29.8,28.3,31.3,36.3,38.7,57.4,29.0,37.11,27.83,,,,,,,,
87,Mile End Road Corner Bancroft Rd,535929.0,182220.0,Kerbside,72.3,52.7,62.8,47.2,46.2,43.2,41.9,40.9,47.0,47.5,62,30.6,49.53,37.14,,,,,,,,
88,Shirbutt St o/s Holy Family School,537555.0,180892.0,Kerbside,43.8,43.7,36.7,35.2,24.8,27.4,22.3,29.0,32.2,38.2,52.2,missing,35.05,26.28,,,,,,,,
89,Thames Path Storers Quay,538730.0,178733.0,Roadside,48.8,48.7,39.2,35.1,25.7,27.8,25.2,27.9,28.5,39.3,50.3,22.0,34.88,26.16,,,,,,,,
90,Sextant Avenue,538674.0,178888.0,Kerbside,37.3,41.8,32.6,36.1,22,23.7,22.3,26.8,30.6,34.7,49.7,21.1,31.56,23.67,,,,,,,,
