11,Brick Lane/Princelet St,533866,181860,Roadside,67.5,54.0,Missing,48.2,missing,45.2,43.6,77.2,57.3,56.7,Missing,67.0,57.41,44.21,,,,,,
12,Buckfast St/Bethnal Green Rd,534259,182580,Roadside,62.7,62.7,48.2,48.2,44.7,43.1,47.9,46.5,51.3,59.8,70.1,65.7,54.24,41.77,,,,,,
14,Warner Place/Hackney Rd,534255,183130,Roadside,68.6,58.1,54.0,49.2,44.3,40.4,39.0,44.4,53.8,49.3,67.6,72.6,53.44,41.15,,,,,,
16,Paradise Row/Bethnal Green Rd,534959,182757,Roadside,Missing,65.5,59.4,51.3,45.2,50.5,43.6,46.5,56.0,64.2,70.0,77.4,57.24,44.07,,,,,,
17,Finnis St/Three Colts Lane,534783,182385,Roadside,54.2,53.3,44.1,41.6,34.2,34.9,35.9,37.9,39.1,52.1,60.0,60.4,45.64,35.14,,,,,,
18,Sidney St/Mile End Rd,534968,181878,Roadside,72.2,66.8,52.2,56.2,missing,49.6,Missing,Missing,Missing,67.4,72.8,75.7,64.11,44.48,,,,,,
19,Philpot St/Commercial Road,534816,181321,Roadside,70.8,63.6,58.2,56.1,60.7,57.5,61.3,60.5,73.1,67.5,86.3,89.5,67.09,51.66,,,,,,
20,Dellow St/The Highway,534951,180779,Roadside,93.3,78.8,63.9,69.6,87.0,68.9,71.8,65.9,81.4,67.2,82.6,73.3,75.31,57.99,,,,,,
22,Wapping Wall/Garnet St,535132,180337,Roadside,57.6,broken,48.1,36.2,40.1,34.4,36.6,37.9,46.1,61.2,61.9,62.3,47.49,36.57,,,,,,
23,Brodlove Lane,535598,180816,Roadside,66.8,59.4,50.7,50.0,54.4,57.2,61.8,53.0,60.1,56.0,66.1,69.0,58.71,45.21,,,,,,
24,Jubilee Street/Commercial Rd,535150,181279,Roadside,Missing,91.9,73.6,missing,64.5,78.9,82.2,72.1,80.1,96.2,109.5,89.7,83.87,64.58,,,,,,
25,Cavell St/Stepney Way,534884,181667,Roadside,71.2,70.4,60.1,56.3,46.4,48.7,48.4,51.3,57.2,63.3,59.3,73.6,58.85,45.31,,,,,,
26,Hannibal Rd/Mile End Rd,535392,182010,Roadside,Missing,60.7,58.7,58.3,74.7,58.0,59.8,57.1,Missing,Missing,81.1,76.3,64.97,50.02,,,,,,
28,Bonner Road,535356,183223,Roadside,56.6,54.4,49.0,66.2,missing,48.7,41.7,45.0,49.6,54.8,64.2,57.3,53.41,41.13,,,,,,
29,Grove Rd/Old Ford Rd,535930,183385,Roadside,64.5,66.4,61.8,56.9,44.1,50.5,58.2,52.7,72.3,69.1,77.1,71.0,62.05,47.78,,,,,,
30,Fieldgate Street,534232,181584,Roadside,Missing,Missing,Missing,missing,62.7,45.4,50.2,54.5,Missing,61.7,66.3,73.5,59.19,48.00,,,,,,
31,Whitechapel Market,534516,181744,Roadside,96.3,89.6,75.9,81.2,72.7,81.7,80.4,Missing,89.4,97.5,103.9,107.5,88.74,68.33,,,,,,
32,Globe Rd/Mile End Rd,535295,182820,Roadside,86.2,65.7,68.8,60.2,65.5,61.4,64.2,58.4,Missing,80.2,78.6,83.0,70.20,54.05,,,,,,
33,Stepney Green,535545,181604,Background,60.2,50.5,43.8,39.0,29.4,33.5,31.7,32.4,44.3,50.0,64.3,Missing,43.55,33.54,,,,,,
36,Locksley St/St Paul's Way,536702,181646,Roadside,46.9,57.1,52.3,51.8,33.2,38.2,37.4,44.5,41.6,63.0,60.4,67.0,49.45,38.08,,,,,,
37,Rhodeswell Rd,536574,181338,Roadside,55.6,53.6,53.5,48.7,32.7,40.6,37.5,43.3,47.4,63.7,68.8,63.7,50.76,39.08,,,,,,
38,Ben Johnson Road,536080,181721,Roadside,67.9,59.4,55.8,55.9,40.8,44.2,47.6,51.1,57.8,69.4,76.1,74.0,58.33,44.92,,,,,,
39,Harford St/Mile End Rd,536089,182258,Roadside,64.9,Missing,58.7,52.2,41.0,43.5,45.4,48.5,Missing,Missing,67.7,57.0,53.21,40.97,,,,,,
41,Ford Close/Roman Rd,536457,183301,Roadside,63.8,Missing,Missing,missing,41.6,missing,Missing,48.9,Missing,Missing,72.8,65.0,58.42,40.58,,,,,,
42,Victoria Park,536494,184170,Background,Missing,34.5,Missing,missing,19.2,missing,Missing,Missing,30.7,39.9,45.4,48.1,36.30,23.79,,,,,,
43,Victoria Park,536494,184170,Background,Missing,Missing,34.0,missing,21.5,missing,Missing,Missing,31.6,40.3,50.2,49.7,37.88,24.73,,,,,,
44,Parnell Rd/Old Ford Rd,536874,183741,Roadside,52.5,56.4,57.4,44.3,35.6,45.8,44.3,46.2,58.4,60.9,72.0,70.2,53.67,41.32,,,,,,
45,St Stephen's Rd/Tredegar Rd,536713,183070,Roadside,73.8,68.8,64.2,65.8,31.8,49.2,47.0,Missing,52.0,66.5,78.5,70.7,60.75,46.78,,,,,,
46,Rhondda Grove/Mile End Rd,536542,182589,Roadside,58.2,47.9,50.3,44.2,missing,43.6,37.5,48.2,55.4,55.9,67.6,72.0,52.80,40.66,,,,,,
47,Wentworth Mews,536452,182454,Roadside,73.9,66.6,77.6,61.8,41.3,54.7,45.8,65.8,63.1,86.5,74.1,78.7,65.83,50.69,,,,,,
48,Ackroyd Drive,536767,181771,Roadside,62.2,43.3,44.6,54.8,47.7,54.4,48.3,51.6,61.7,74.3,69.2,68.1,56.68,43.65,,,,,,
49,Dod St/Burdett Rd,537026,181227,Roadside,47.8,41.7,54.6,44.8,missing,42.6,39.3,40.4,49.9,61.7,65.2,60.2,49.84,38.37,,,,,,
50,Rich Street,536937,180987,Roadside,58.1,58.7,61.8,56.8,missing,48.4,45.4,57.8,54.9,62.7,70.4,64.3,58.12,44.75,,,,,,
51,Watney Market,534938,181257,Background,48.6,49.2,48.6,missing,40.7,36.9,37.7,Missing,49.1,Missing,65.1,60.5,48.49,37.34,,,,,,
52,Wick Lane/Autumn St,537304,183619,Roadside,67.2,61.6,50.5,54.0,41.8,48.5,43.1,53.5,61.5,68.2,71.6,74.1,57.97,44.63,,,,,,
53,Fairfield Road/Tredegar Road ,537159,183415,Roadside,74.8,68.8,75.0,64.3,39.7,56.8,57.5,67.0,67.3,81.7,81.6,77.3,67.65,52.09,,,,,,
54,Bow Rd /Glebe Terrace,537525,182887,Roadside,Missing,Missing,Missing,missing,66.5,missing,Missing,Missing,Missing,Missing,91.2,87.4,81.70,48.71,,,,,,
55,TH Cemetery Park,536730,182363,Background,44.8,36.8,35.8,30.9,24.0,36.9,26.4,29.4,Missing,26.3,45.3,41.6,34.38,26.47,,,,,,
56,Bow Common Lane/St Paul's Way,537248,181820,Roadside,70.5,55.1,57.9,49.8,50.3,56.6,45.9,49.9,50.2,62.7,63.2,55.7,55.65,42.85,,,,,,
58,Dolphin Lane,537539,180688,Roadside,61.8,48.3,42.7,42.3,35.9,36.6,35.1,38.4,40.8,55.6,58.3,60.2,46.33,35.68,,,,,,
59,Westferry Road/Limehouse Link jnct,537100,180791,Roadside,61.7,58.7,Missing,missing,44.4,missing,Missing,Missing,48.6,61.2,66.7,67.9,58.46,38.52,,,,,,
60,"Cascades, Westferry Road",537115,180074,Roadside,68.3,56.3,52.2,52.4,41.6,48.6,50.9,52.7,62.2,76.4,74.6,68.9,58.76,45.24,,,,,,
61,Bow Rd/Alfred St,537056,182773,Roadside,72.2,65.5,47.6,52.5,35.8,44.9,43.3,Missing,Missing,61.5,69.0,72.9,56.52,43.52,,,,,,
62,Mast House Terrace,537348,178690,Roadside,42.6,43.7,43.3,41.6,31.6,34.7,33.7,40.3,46.1,56.5,62.8,67.5,45.37,34.93,,,,,,
63,Millwall Park,538259,178688,Background,54.2,38.0,37.2,33.1,25.6,27.8,25.1,30.0,35.7,41.7,49.7,56.2,37.86,29.15,,,,,,
64,Limeharbour,537953,179357,Roadside,58.0,56.2,52.5,57.3,39.8,42.2,47.1,50.8,48.3,65.5,71.3,63.8,54.40,41.89,,,,,,
65,Manchester Road/East Ferry Road,538033,178360,Roadside,48.6,36.2,43.6,42.5,missing,31.6,30.0,35.8,43.8,58.0,56.9,63.4,44.58,34.33,,,,,,
66,Millwall Park,538247,178689,Background,62.8,42.3,36.5,34.0,missing,26.7,26.5,29.9,34.2,28.4,51.8,60.9,39.45,30.38,,,,,,
67,Seyssel Street,538545,178767,Roadside,50.6,43.4,45.9,40.1,missing,35.1,31.3,37.9,41.3,51.9,53.4,57.3,44.38,34.17,,,,,,
68,Manchester Road/Ollife Street ,538432,179044,Roadside,47.2,45.8,50.7,32.9,31.0,31.8,30.1,40.8,44.7,56.3,59.1,58.2,44.05,33.92,,,,,,
69,Lawnhouse Close ,538191,179750,Roadside,64.2,56.6,53.0,45.2,41.0,41.7,37.8,47.5,45.4,61.6,70.8,68.3,52.76,40.62,,,,,,
72,Prestons Road/ Coldharbour,538364,180188,Roadside,54.3,54.5,58.7,44.2,missing,46.8,40.6,52.1,56.3,Missing,Missing,44.2,50.19,38.65,,,,,,
73,John Smith Mews,538742,180756,Roadside,58.5,52.1,47.4,40.7,40.4,39.2,36.5,39.3,45.7,58.9,65.7,62.4,48.90,37.65,,,,,,
75,Hale Street,537661,180768,Roadside,Missing,Missing,40.3,36.3,32.1,18.0,31.6,38.9,47.3,55.2,65.9,69.1,43.47,33.47,,,,,,
76,Chrisp Street/E India Dock Road ,537940,181021,Roadside,61.1,71.4,62.6,63.9,32.1,missing,Missing,Missing,65.4,Missing,Missing,81.5,62.57,48.18,,,,,,
77,Morris/Barchester Street,537731,181761,Roadside,49.0,57.2,51.2,47.6,36.4,37.6,38.6,45.4,47.2,58.6,67.6,67.8,50.35,38.77,,,,,,
78,Devons Road / Campbell Road ,537577,182232,Roadside,69.5,58.0,62.1,59.8,52.8,51.8,50.0,56.2,54.0,77.2,73.8,77.0,61.85,47.62,,,,,,
79,Hatfield Terrace/Fairfield Road,537356,183059,Roadside,30.5,43.0,44.6,42.6,29.0,31.4,27.3,39.4,36.9,57.1,Missing,56.5,39.85,30.68,,,,,,
80,Wrexham Road,537581,183208,Roadside,52.9,55.7,57.5,54.6,39.8,35.5,35.4,55.9,43.6,88.6,66.0,57.0,53.54,41.23,,,,,,
81,Bromley High Street/ St leonards,537868,182912,Roadside,53.9,47.4,47.6,49.1,missing,36.6,32.7,45.2,44.0,79.4,59.4,67.6,51.17,39.40,,,,,,
82,Devas Street /Devons road,537821,182332,Roadside,70.5,70.6,51.4,65.1,missing,43.7,47.2,55.1,64.7,82.6,84.4,80.4,65.06,50.10,,,,,,
83,Zetland Street/A12,538178,181747,Roadside,85.8,72.3,80.2,72.7,62.8,75.4,68.5,84.8,90.9,115.2,88.0,83.6,81.68,62.90,,,,,,
84,Blair Street (End of Street),538366,181180,Roadside,87.0,71.7,58.2,55.6,56.7,58.9,57.8,58.1,56.8,63.3,60.8,Missing,62.26,47.94,,,,,,
85,Portree Street,538895,181296,Roadside,66.9,68.6,65.5,56.8,41.8,51.6,49.0,52.8,60.4,80.8,75.3,72.9,61.87,47.64,,,,,,
86,Newport Avenue,538955,180872,Roadside,47.1,47.7,43.6,35.8,38.2,31.5,32.8,38.0,41.9,60.5,58.5,58.9,44.54,34.30,,,,,,
89,Thames Path Storers Quay,538730,178733,Background,44.7,39.7,41.3,35.8,33.4,27.2,26.7,32.7,35.6,53.4,58.7,48.0,39.77,30.62,,,,,,
90,Sextant Avenue,538674,178887,Roadside,36.3,38.6,38.0,30.4,missing,22.9,22.0,29.1,30.9,46.9,48.4,49.3,35.71,27.50,,,,,,
