,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tower Hamlets Nitrogen Dioxide Diffusion Tube Results 2024,,,,,,,,,,,,,,,,,,,,,
23,Brodlove Lane,535598.0,180816.0,Kerbside,,27.80,33.70,missing,15.30,23.70,29.50,29.90,28.70,22.10,31.10,34.20,25.90,27.45,20.58,,,,,,
24,Jubilee Street/Commercial Rd,535174.0,181290.0,Kerbside,,missing,40.00,39.10,35.00,37.30,39.40,33.80,33.50,20.50,40.80,missing,12.30,33.17,24.88,,,,,,
25,Cavell St/Stepney Way,534884.0,181667.0,Kerbside,,missing,42.40,missing,missing,28.90,25.40,30.70,28.20,14.40,39.90,missing,missing,29.99,22.49,,,,,,
26,Hannibal Rd/Mile End Rd,535386.0,182021.0,Kerbside,,31.00,32.90,28.20,22.20,25.70,26.60,25.50,26.50,24.30,31.90,30.20,16.50,26.79,20.09,,,,,,
27,Roman Rd/Globe Road,535296.0,182793.0,Kerbside,,25.20,31.90,26.10,21.10,28.50,22.30,19.60,21.70,13.20,17.50,36.90,19.00,23.58,17.69,,,,,,
28,Bonner Road,535356.0,183223.0,Kerbside,,35.00,32.40,27.50,29.60,33.10,30.60,23.50,22.70,21.20,25.90,32.20,17.10,27.57,20.68,,,,,,
29,Grove Rd/Old Ford Rd,535930.0,183385.0,Kerbside,,30.80,36.10,31.20,23.80,27.70,24.60,22.40,27.10,29.70,27.40,34.00,missing,28.62,21.46,,,,,,
30,Fieldgate Street,534239.0,181565.0,Kerbside,,29.30,24.50,34.60,23.50,28.20,23.90,29.90,29.20,14.60,36.90,33.90,20.20,27.39,20.54,,,,,,
31,Whitechapel Market,534516.0,181744.0,Roadside,,45.10,47.20,34.30,34.90,33.00,35.70,42.80,38.10,19.50,42.00,38.10,35.70,37.20,27.90,,,,,,
32,Globe Rd/Mile End Rd,535634.0,182148.0,Kerbside,,30.70,41.10,40.20,30.00,34.80,33.00,31.10,32.70,38.90,41.80,42.80,30.10,35.60,26.70,,,,,,
33,Stepney Green,535545.0,181604.0,Urban background,,24.30,28.00,24.10,14.70,9.90,16.00,16.90,19.60,21.30,24.10,missing,26.60,20.50,15.38,,,,,,
34,Pitsea St/Commercial Rd,535797.0,181164.0,Kerbside,,33.50,29.90,missing,18.80,missing,missing,21.80,missing,29.40,29.00,missing,missing,27.07,20.30,,,,,,
35,Narrow St/Limehouse Link,535977.0,180879.0,Roadside,,62.50,61.30,65.80,56.20,1230.10,55.50,60.20,60.20,69.70,55.20,62.60,35.00,156.19,117.14,,,,,,
36,Locksley St/St Paul's Way,536704.0,181647.0,Kerbside,,missing,31.90,28.60,16.00,22.10,20.60,19.20,20.20,26.00,29.90,missing,missing,23.83,17.88,,,,,,
37,Rhodeswell Rd,536577.0,181379.0,Kerbside,,30.30,33.60,28.10,18.70,21.40,20.10,18.70,18.70,22.50,34.00,32.90,25.80,25.40,19.05,,,,,,
38,Ben Johnson Road,536080.0,181721.0,Kerbside,,25.70,31.80,34.40,25.20,27.60,26.40,26.30,25.60,33.40,35.50,missing,14.90,27.89,20.92,,,,,,
39,Harford St/Mile End Rd,536089.0,182258.0,Roadside,,32.40,33.90,missing,22.00,19.10,22.00,22.30,23.40,29.70,31.50,missing,25.40,26.17,19.63,,,,,,
40,Thoydon Rd,536105.0,183049.0,Kerbside,,22.30,26.90,20.60,21.00,21.00,21.20,20.20,19.30,23.80,23.80,33.80,11.30,22.10,16.58,,,,,,
41,Ford Close/Roman Rd,536457.0,183301.0,Roadside,,33.10,29.60,24.80,23.40,30.00,23.10,missing,21.70,28.70,21.30,35.20,18.40,26.30,19.73,,,,,,
42,Victoria Park (Co-location site),536494.0,184170.0,Urban background,,19.90,18.10,16.30,9.00,13.60,10.00,10.90,missing,12.60,14.60,23.20,6.10,14.03,10.52,,,,,,
43,Victoria Park (Co-location site),536494.0,184170.0,Urban background,,19.30,18.60,18.10,9.90,12.90,9.20,11.00,12.90,8.30,missing,21.80,15.70,14.34,10.75,,,,,,
44,Parnell Rd/Old Ford Rd,536875.0,183740.0,Kerbside,,39.50,35.20,33.60,26.90,26.60,missing,21.60,24.30,29.40,34.50,37.60,27.10,30.57,22.93,,,,,,
45,St Stephen's Rd/Tredegar Rd,536713.0,183070.0,Kerbside,,33.10,29.70,27.00,21.90,28.30,22.20,24.70,23.90,31.40,29.00,38.70,20.30,27.52,20.64,,,,,,
46,Rhondda Grove/Mile End Rd,536542.0,182589.0,Kerbside,,missing,21.70,missing,18.90,19.40,19.60,20.40,18.60,26.20,23.40,31.20,24.20,22.36,16.77,,,,,,
47,Wentworth Mews,536452.0,182454.0,Kerbside,,39.00,missing,32.90,25.10,32.30,28.40,28.50,26.80,34.90,38.90,39.20,27.10,32.10,24.08,,,,,,
48,Ackroyd Drive,536768.0,181772.0,Kerbside,,28.10,30.70,33.00,24.10,28.20,26.10,29.30,28.20,33.20,37.60,40.40,15.10,29.50,22.13,,,,,,
49,Dod St/Burdett Rd,537049.0,181292.0,Kerbside,,27.20,27.90,27.80,18.30,20.90,18.80,19.80,19.60,21.90,30.90,34.50,18.90,23.88,17.91,,,,,,
50,Rich Street,536937.0,180987.0,Roadside,,35.60,29.50,30.10,24.70,461.70,22.40,25.50,26.40,missing,32.10,37.10,25.80,68.26,51.20,,,,,,
51,Watney Market,534938.0,181257.0,Roadside,,missing,28.80,25.30,missing,missing,missing,21.80,20.90,26.80,32.50,33.00,29.30,27.30,20.48,,,,,,
52,Wick Lane/Autumn St,537304.0,183619.0,Kerbside,,25.90,35.30,29.60,22.80,26.50,25.10,26.00,26.10,31.70,40.70,41.10,17.00,28.98,21.74,,,,,,
53,Fairfield Road/Tredegar Road ,537159.0,183415.0,Kerbside,,43.80,40.10,38.10,34.60,34.20,29.80,24.20,30.50,37.40,36.10,37.00,29.90,34.64,25.98,,,,,,
54,Bow Rd /Glebe Terrace,537525.0,182887.0,Kerbside,,47.50,48.70,53.30,31.10,26.70,31.30,43.20,36.10,24.50,34.00,50.90,39.70,38.92,29.19,,,,,,
55,TH Cemetery Park,536732.0,182361.0,Roadside,,19.90,20.20,16.60,12.30,13.40,12.70,11.50,12.90,16.50,16.60,21.60,8.10,15.19,11.39,,,,,,
56,Bow Common Lane/St Paul's Way,537248.0,181820.0,Kerbside,,33.10,28.40,32.00,20.20,28.90,24.40,26.10,25.60,27.20,30.10,32.60,27.70,28.03,21.02,,,,,,
57,Augusta St/Giraud St,537516.0,181392.0,Kerbside,,29.10,24.30,22.70,17.40,23.40,17.10,17.90,16.90,22.10,missing,30.50,20.90,22.03,16.52,,,,,,
58,Dolphin Lane,537539.0,180688.0,Kerbside,,27.80,27.80,23.70,16.40,21.50,17.70,20.10,20.20,22.60,20.40,32.00,21.50,22.64,16.98,,,,,,
59,Westferry Road/Limehouse Link jnct,537100.0,180791.0,Kerbside,,missing,31.50,missing,missing,29.00,22.80,25.80,23.90,27.80,30.90,38.30,21.50,27.94,20.96,,,,,,
60,"Cascades, Westferry Road",537115.0,180074.0,Kerbside,,30.90,32.80,30.40,28.50,34.00,26.20,30.30,24.60,34.70,7.80,33.20,missing,28.49,21.37,,,,,,
61,Bow Rd/Alfred St,537056.0,182773.0,Kerbside,,33.10,32.10,25.00,20.60,21.70,missing,22.60,20.50,19.30,30.30,36.60,22.40,25.84,19.38,,,,,,
62,Mast House Terrace,537348.0,178690.0,Kerbside,,29.30,28.70,26.70,23.40,28.00,23.40,25.70,24.00,28.50,26.50,34.80,8.50,25.63,19.22,,,,,,
63,Millwall Park,538246.0,178689.0,Urban background,,24.40,22.80,17.90,14.90,nul,missing,17.10,16.80,9.90,20.70,25.70,15.60,18.58,13.94,,,,,,
64,Limeharbour,537953.0,179357.0,Kerbside,,36.20,38.00,37.50,30.90,45.20,35.60,34.70,34.00,37.90,37.10,37.80,34.50,36.62,27.46,,,,,,
65,Manchester Road/East Ferry Road,538032.0,178360.0,Kerbside,,26.00,27.80,20.40,20.50,25.10,20.50,21.20,20.80,22.60,25.60,32.20,18.60,23.44,17.58,,,,,,
66,Millwall Park,538258.0,178689.0,Urban background,,25.50,22.70,17.80,16.40,16.00,14.10,14.00,15.70,16.90,21.50,26.60,14.80,18.50,13.88,,,,,,
67,Seyssel Street,538544.0,178767.0,Kerbside,,28.60,31.60,24.80,23.80,26.30,22.80,22.80,23.40,24.00,29.10,36.30,missing,26.68,20.01,,,,,,
68,Manchester Road/Ollife Street ,538431.0,179044.0,Kerbside,,31.70,29.20,21.80,24.30,28.40,25.40,25.10,21.40,29.30,29.40,35.00,22.60,26.97,20.23,,,,,,
69,Lawnhouse Close ,538190.0,179750.0,Kerbside,,21.90,28.80,28.00,23.90,19.50,26.80,24.00,24.90,25.80,29.30,34.90,27.80,26.30,19.73,,,,,,
70,Admirals Way,537424.0,179910.0,Kerbside,,28.60,19.80,21.00,19.40,22.90,19.10,18.80,21.40,22.00,25.30,32.20,22.70,22.77,17.08,,,,,,
71,Toynbee St/Commercial St,533689.0,181705.0,Roadside,,39.40,42.70,37.60,34.10,36.70,30.40,32.60,31.90,36.30,39.60,42.90,37.70,36.83,27.62,,,,,,
72,Prestons Road/ Coldharbour,538364.0,180188.0,Kerbside,,30.80,39.10,31.00,25.90,35.80,29.10,27.40,28.40,34.70,35.30,39.90,missing,32.49,24.37,,,,,,
73,John Smith Mews,538742.0,180756.0,Kerbside,,17.20,26.00,19.50,17.90,25.40,18.10,18.10,18.10,22.70,22.60,33.40,20.40,21.62,16.21,,,,,,
74,Poplar High St/Cotton St,538244.0,180761.0,Kerbside,,51.40,53.70,54.90,50.50,68.70,41.00,60.80,60.60,59.70,61.30,60.70,30.10,54.45,40.84,,,,,,
75,Hale Street,537661.0,180768.0,Kerbside,,29.80,29.80,21.10,19.90,22.10,18.20,16.60,19.60,20.90,26.40,36.80,27.00,24.02,18.01,,,,,,
76,Chrisp Street/E India Dock Road ,537940.0,181021.0,Kerbside,,37.60,29.60,37.90,28.20,37.10,29.60,29.40,29.30,39.10,37.50,41.10,19.80,33.02,24.76,,,,,,
77,Morris/Barchester Street,537731.0,181761.0,Kerbside,,23.80,30.20,26.70,20.30,24.00,missing,21.10,19.30,24.50,27.50,missing,14.30,23.17,17.38,,,,,,
78,Devons Road / Campbell Road ,537577.0,182232.0,Kerbside,,33.40,39.90,32.50,30.80,38.40,31.60,27.00,29.90,36.20,39.60,46.70,15.40,33.45,25.09,,,,,,
79,Hatfield Terrace/Fairfield Road,537355.0,183059.0,Kerbside,,31.40,missing,25.70,20.70,23.50,16.90,18.50,18.00,18.00,24.00,missing,22.00,21.87,16.40,,,,,,
80,Wrexham Road,537581.0,183209.0,Kerbside,,36.40,missing,28.80,missing,28.30,23.50,12.50,21.50,14.10,31.20,36.80,missing,25.90,19.43,,,,,,
81,Bromley High Street/ St Leonards,537868.0,182912.0,Kerbside,,36.40,33.20,29.10,27.10,28.30,24.70,23.40,26.50,15.20,28.90,37.10,missing,28.17,21.13,,,,,,
82,Devas Street /Devons road,537821.0,182332.0,Kerbside,,39.90,35.50,30.30,24.00,20.30,23.50,24.90,25.00,33.40,35.50,32.60,23.90,29.07,21.80,,,,,,
83,Zetland Street/A12,538178.0,181747.0,Kerbside,,52.70,35.90,48.20,42.70,55.00,33.10,39.70,37.90,47.60,45.80,50.90,27.10,43.05,32.29,,,,,,
84,Blair Street (End of Street),538365.0,181180.0,Roadside,,35.70,44.00,36.20,26.90,29.50,28.10,30.10,31.20,28.00,35.30,missing,23.60,31.69,23.77,,,,,,
85,Portree Street,538895.0,181296.0,Kerbside,,42.30,37.20,42.20,34.00,40.40,32.90,32.20,30.30,36.10,missing,41.10,28.90,36.15,27.11,,,,,,
86,Newport Avenue,538954.0,180872.0,Kerbside,,23.90,26.10,23.00,19.10,23.60,16.00,17.20,19.80,19.70,26.70,missing,missing,21.51,16.13,,,,,,
87,Mile End Road Corner Bancroft Rd,535929.0,182220.0,Kerbside,,36.60,28.90,24.80,26.10,29.80,29.10,26.00,26.10,36.80,23.20,46.90,15.70,29.17,21.88,,,,,,
88,Shirbutt St o/s Holy Family School,537555.0,180892.0,Kerbside,,23.50,missing,21.60,missing,21.30,15.90,17.80,missing,20.30,24.10,31.50,21.20,21.91,16.43,,,,,,
89,Thames Path Storers Quay,538730.0,178733.0,Roadside,,20.90,24.80,22.90,15.10,21.40,16.70,18.90,17.60,22.50,27.20,30.70,15.20,21.16,15.87,,,,,,
90,Sextant Avenue,538674.0,178888.0,Kerbside,,26.70,25.20,19.20,17.70,20.40,7.50,17.50,15.80,18.70,24.30,29.00,20.40,20.20,15.15,,,,,,
91,At the exit of MOT station,539007.0,181146.0,Kerbside,,35.80,35.20,30.40,28.10,34.70,20.00,26.80,29.10,26.50,35.40,41.00,22.80,30.48,22.86,,,,,,
92,At the entrance of MOT station,538907.0,181127.0,Roadside,,32.20,31.60,31.40,21.30,28.30,19.90,21.00,21.00,27.70,29.00,36.70,20.30,26.70,20.03,,,,,,
93,Millwall Park- North Greenwich Bowls Club (Co-location site),538016.0,178569.0,Urban background, ,22.50,21.90,18.70,18.10,17.30,11.60,16.30,14.40,16.90,14.20,22.10,13.40,17.28,12.96,,,,,,
94,Millwall Park- North Greenwich Bowls Club(Co-location site),538016.0,178569.0,Urban background, ,22.80,21.90,20.20,14.90,14.20,13.40,16.20,14.20,14.60,17.30,25.10,23.00,18.15,13.61,,,,,,
